Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,symmetric,0.01,0.34977901117308285
100% Corpus,7,symmetric,0.31,0.3646533487759165
100% Corpus,7,symmetric,0.61,0.3966143110353307
100% Corpus,7,symmetric,0.9099999999999999,0.4346758914787115
100% Corpus,7,symmetric,symmetric,0.36084971906753005
100% Corpus,7,asymmetric,0.01,0.3406917514714224
100% Corpus,7,asymmetric,0.31,0.4778345052236598
100% Corpus,7,asymmetric,0.61,0.5453840244280262
100% Corpus,7,asymmetric,0.9099999999999999,0.5454004069934686
100% Corpus,7,asymmetric,symmetric,0.3843432767037892
100% Corpus,8,0.01,0.01,0.357600822358865
100% Corpus,8,0.01,0.31,0.35819051066266805
100% Corpus,8,0.01,0.61,0.3844242228491064
100% Corpus,8,0.01,0.9099999999999999,0.4118277353052582
100% Corpus,8,0.01,symmetric,0.336214421173897
100% Corpus,8,0.31,0.01,0.3202657703419266
100% Corpus,8,0.31,0.31,0.3122943311215659
100% Corpus,8,0.31,0.61,0.3400363140098496
100% Corpus,8,0.31,0.9099999999999999,0.4056304254858391
100% Corpus,8,0.31,symmetric,0.3238134560967099
100% Corpus,8,0.61,0.01,0.29733688224608024
100% Corpus,8,0.61,0.31,0.3135833627403134
100% Corpus,8,0.61,0.61,0.3121601663355186
100% Corpus,8,0.61,0.9099999999999999,0.32450607777641693
100% Corpus,8,0.61,symmetric,0.2957266536124878
100% Corpus,8,0.9099999999999999,0.01,0.3016941514559327
100% Corpus,8,0.9099999999999999,0.31,0.3088397799282564
100% Corpus,8,0.9099999999999999,0.61,0.30942341479213253
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.32887056478504967
100% Corpus,8,0.9099999999999999,symmetric,0.2999477878146698
100% Corpus,8,symmetric,0.01,0.3626324933207302
100% Corpus,8,symmetric,0.31,0.3543879243823338
100% Corpus,8,symmetric,0.61,0.39502339646914375
100% Corpus,8,symmetric,0.9099999999999999,0.42729771599776534
100% Corpus,8,symmetric,symmetric,0.3739095782055884
100% Corpus,8,asymmetric,0.01,0.3367559584072982
100% Corpus,8,asymmetric,0.31,0.44498421845091796
100% Corpus,8,asymmetric,0.61,0.5676782916467775
100% Corpus,8,asymmetric,0.9099999999999999,0.5689731059607249
100% Corpus,8,asymmetric,symmetric,0.40310322349503264
100% Corpus,9,0.01,0.01,0.33277777702817907
100% Corpus,9,0.01,0.31,0.3573757769908056
100% Corpus,9,0.01,0.61,0.41285855907842006
100% Corpus,9,0.01,0.9099999999999999,0.4254791863895317
100% Corpus,9,0.01,symmetric,0.3666941019000314
100% Corpus,9,0.31,0.01,0.320336445246364
100% Corpus,9,0.31,0.31,0.3116839516650297
100% Corpus,9,0.31,0.61,0.3490056623542762
100% Corpus,9,0.31,0.9099999999999999,0.4151011347443652
100% Corpus,9,0.31,symmetric,0.32709108357970723
100% Corpus,9,0.61,0.01,0.3060645940323953
100% Corpus,9,0.61,0.31,0.3122885870539557
100% Corpus,9,0.61,0.61,0.334452998603208
100% Corpus,9,0.61,0.9099999999999999,0.3248458209356699
100% Corpus,9,0.61,symmetric,0.2896416097990738
100% Corpus,9,0.9099999999999999,0.01,0.3000827554646108
100% Corpus,9,0.9099999999999999,0.31,0.3035686498680921
100% Corpus,9,0.9099999999999999,0.61,0.3049920683365462
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.3417105645626748
100% Corpus,9,0.9099999999999999,symmetric,0.3036781504607696
100% Corpus,9,symmetric,0.01,0.35613631220047964
100% Corpus,9,symmetric,0.31,0.35110927572654094
100% Corpus,9,symmetric,0.61,0.38784832336606423
100% Corpus,9,symmetric,0.9099999999999999,0.464333093926952
100% Corpus,9,symmetric,symmetric,0.37369719553991465
100% Corpus,9,asymmetric,0.01,0.3551459779861196
100% Corpus,9,asymmetric,0.31,0.46759213777714254
100% Corpus,9,asymmetric,0.61,0.5611710360770754
100% Corpus,9,asymmetric,0.9099999999999999,0.5691843512866065
100% Corpus,9,asymmetric,symmetric,0.3931137943422931
100% Corpus,10,0.01,0.01,0.3516459856360468
100% Corpus,10,0.01,0.31,0.3415899703164366
100% Corpus,10,0.01,0.61,0.3970835388699855
100% Corpus,10,0.01,0.9099999999999999,0.44209970926471
100% Corpus,10,0.01,symmetric,0.35004974154345536
100% Corpus,10,0.31,0.01,0.32266240133879265
100% Corpus,10,0.31,0.31,0.31822243785097437
100% Corpus,10,0.31,0.61,0.32357395325795724
100% Corpus,10,0.31,0.9099999999999999,0.3996557788803263
100% Corpus,10,0.31,symmetric,0.3162306034185445
100% Corpus,10,0.61,0.01,0.30476644680327547
100% Corpus,10,0.61,0.31,0.3076914389057839
100% Corpus,10,0.61,0.61,0.3305765958719494
100% Corpus,10,0.61,0.9099999999999999,0.319677770338083
100% Corpus,10,0.61,symmetric,0.2955202980668915
100% Corpus,10,0.9099999999999999,0.01,0.30876389190406905
100% Corpus,10,0.9099999999999999,0.31,0.31885094589218477
100% Corpus,10,0.9099999999999999,0.61,0.3173007375819288
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3437100772580842
100% Corpus,10,0.9099999999999999,symmetric,0.30821377640314973
100% Corpus,10,symmetric,0.01,0.34984313120383903
100% Corpus,10,symmetric,0.31,0.36883590326488613
100% Corpus,10,symmetric,0.61,0.41301522305433397
100% Corpus,10,symmetric,0.9099999999999999,0.4241737129398361
100% Corpus,10,symmetric,symmetric,0.36202404168181057
100% Corpus,10,asymmetric,0.01,0.351516997366086
100% Corpus,10,asymmetric,0.31,0.462606434225488
100% Corpus,10,asymmetric,0.61,0.5582920941742656
100% Corpus,10,asymmetric,0.9099999999999999,0.5474071913185259
100% Corpus,10,asymmetric,symmetric,0.3834323178818644
